RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021
394355,35,"Austin, TX",Msa,TX,375421,377345,381848,386736,388213,388246,385010,378693,372214,367355,364083,359548,356786,358438,365813,375063,381510,378994,370552,361190,354709,351447,349471,346233,346266,350169,360992,368787,377550,387784,399749,410731,418182,424571,428530,429800,431019,436825,452000,473333,490000,503333,513333,521333,527277
395194,36,"Virginia Beach, VA",Msa,VA,257984,257823,260691,265201,270484,274059,276346,276379,276056,273769,272127,270355,271192,274124,279117,284721,288233,289811,289811,289811,289521,289231,289231,289521,289811,289843,293064,297554,303994,309679,314852,318045,317223,316256,312652,307930,302463,299767,301467,306600,309963,309963,304997,301633,299967
394902,37,"Nashville, TN",Msa,TN,383041,384440,386145,388567,388567,386862,383348,376831,372396,369052,367347,364992,363491,363525,365197,368438,373215,376627,376243,373138,369726,368063,366118,363593,360523,360761,363286,366679,371660,376812,383621,387169,390547,391263,390956,389250,388587,394473,402324,414324,426795,439963,451597,453933,455297
395005,38,"Providence, RI",Msa,RI,346009,347792,353071,360063,365308,367021,367056,367056,367056,365273,361427,356218,354470,357966,366356,376180,383487,387298,387962,387962,387648,385935,382438,375761,370517,373698,384187,394640,401947,408939,419462,425790,422329,411806,400269,396423,396606,407169,408000,413333,413000,427000,437000,442300,439267
394862,39,"Milwaukee, WI",Msa,WI,216267,217933,226267,238100,249467,256133,257967,254933,249933,244600,237933,232633,231267,234300,237933,237967,237300,237300,238933,239900,236567,231900,226767,221800,219800,221600,231567,241567,251567,256600,259967,256633,249967,242633,236000,230967,224933,223233,224900,229933,237467,237500,232467,222933,219433
394714,40,"Jacksonville, FL",Msa,FL,300963,304930,309963,314633,316333,316300,312967,307966,302666,298000,296300,296266,296266,297633,299667,304667,311667,313997,310663,303963,299633,299467,299163,298330,298480,301813,306313,307327,309327,312327,317963,319300,317967,314667,309330,307330,307560,312197,318193,327930,338963,346633,350000,350163,353463
394849,41,"Memphis, TN",Msa,TN,187574,182803,181245,184140,187320,194923,200012,205610,207233,208791,209109,206247,203098,200712,203575,208346,215980,221069,224250,224218,223839,223807,223839,224218,222660,222628,225809,230580,236242,241649,248011,251892,248075,245530,243940,243908,242127,238931,239608,242642,249500,252967,254967,255300,258300
394935,42,"Oklahoma City, OK",Msa,OK,236174,238234,243038,248223,252721,253412,253412,250661,248942,247191,247195,247162,249557,254330,262914,271465,278020,279427,277101,272572,269447,267730,267799,267799,269516,273465,278821,282255,286891,293930,299730,301103,297326,294943,293192,291440,290229,292744,300583,312283,317283,313967,305600,299933,296799
394807,43,"Louisville-Jefferson County, KY",Msa,KY,232000,240300,253933,266567,274600,276600,274800,271467,267833,265700,261783,256783,254050,256967,266300,277833,287133,291100,289600,284633,277967,269600,259933,251967,248500,253133,264681,278148,290148,296567,299600,296300,287967,277967,265630,258963,255630,261297,269645,278312,285615,288800,287100,281467,273267
394669,44,"Hartford, CT",Msa,CT,273932,278364,286853,292785,296501,296502,296502,296195,294490,292785,289683,287978,286274,288012,291422,298240,303320,309320,309320,309013,305434,303047,299945,297217,295513,295547,301002,308502,318728,327217,337445,344231,344231,340821,335742,332707,330237,332737,339933,348233,351567,347933,339600,331300,327300
395022,45,"Richmond, VA",Msa,VA,297950,298672,306298,317989,325879,329282,329592,327371,322592,315751,311097,309343,309309,311045,319674,331723,343721,348533,349238,344271,337739,330176,326549,326515,329248,334401,341276,350232,359893,369906,377091,381200,380166,379638,379126,381633,384833,389483,393026,392859,389539,381313,373280,365283,361633
394910,46,"New Orleans, LA",Msa,LA,245967,243127,243793,250127,257600,262633,264267,262933,260600,257600,254300,251633,250000,252000,256833,263467,269767,272733,272733,270767,269300,268667,268000,266533,263867,262867,264633,269633,276433,282800,289100,294267,297600,299600,299300,299467,297833,297500,299300,307633,317350,325383,327050,324333,321000
394425,47,"Buffalo, NY",Msa,NY,174621,176317,183102,191584,198369,201762,203458,202644,200982,197589,193314,188191,184833,185884,189311,196062,203187,209630,213056,209969,206580,202509,198810,195723,192670,192975,196368,203153,213365,223577,230668,230634,227207,224384,221407,218431,215257,223562,235233,249867,256567,256567,249900,239900,233233
